parentdpcity_id,parentdpcity_name,mtcity_id
141,吉安,485
156,德州,728
32,沧州,650
152,威海,497
211,茂名,672
6,苏州,422
105,金华,455
9,重庆,748
9,重庆,427
6,苏州,433
167,焦作,695
33,廊坊,575
156,德州,904
129,泉州,440
211,茂名,631
185,黄冈,667
129,泉州,621
131,南平,756
185,黄冈,668
27,邯郸,449
152,威海,499
126,宣城,781
156,德州,727
156,德州,905
27,邯郸,791
131,南平,443
52,呼伦贝尔,572
27,邯郸,763
126,宣城,780
52,呼伦贝尔,568
72,四平,581
129,泉州,844
27,邯郸,768
27,邯郸,798
211,茂名,729
27,邯郸,767
27,邯郸,792
156,德州,611
129,泉州,420
33,廊坊,538
156,德州,608
156,德州,777
152,威海,498
129,泉州,825
195,邵阳,736
211,茂名,750
156,德州,820
32,沧州,917
109,丽水,895
109,丽水,913
29,保定,629
241,德阳,593
79,哈尔滨,649
295,汉中,870
180,襄阳,625
295,汉中,909
105,金华,458
184,荆州,831
162,洛阳,838
168,濮阳,742
180,襄阳,659
9,重庆,871
167,焦作,698
184,荆州,911
130,漳州,618
157,聊城,537
100,宿迁,531
47,包头,879
168,濮阳,743
39,晋城,919
162,洛阳,818
167,焦作,694
29,保定,803
6,苏州,403
172,南阳,662
168,濮阳,849
241,德阳,906
130,漳州,663
109,丽水,922
9,重庆,731
77,白城,666
184,荆州,928
29,保定,765
100,宿迁,824
204,湘西,480
29,保定,426
222,揭阳,546
105,金华,476
39,晋城,770
105,金华,730
29,保定,854
167,焦作,697
9,重庆,778
35,太原,691
184,荆州,648
105,金华,405
167,焦作,644
281,迪庆,484
157,聊城,878
167,焦作,696
100,宿迁,760
162,洛阳,528
9,重庆,733
162,洛阳,516
6,苏州,432
162,洛阳,814
43,忻州,637
180,襄阳,494
39,晋城,601
168,濮阳,741
9,重庆,428
168,濮阳,740
9,重庆,732
6,苏州,419
3,杭州,416
147,东营,880
92,徐州,548
137,九江,787
147,东营,541
99,泰州,439
176,驻马店,887
4,广州,474
24,石家庄,543
173,商丘,577
8,成都,788
92,徐州,833
196,岳阳,590
142,宜春,671
56,巴彦淖尔,850
3,杭州,554
61,丹东,539
111,芜湖,774
147,东营,881
292,咸阳,661
260,遵义,475
8,成都,576
142,宜春,735
3,杭州,660
96,淮安,843
111,芜湖,769
3,杭州,594
292,咸阳,908
296,榆林,796
111,芜湖,773
251,达州,910
196,岳阳,847
92,徐州,862
8,成都,646
111,芜湖,775
61,丹东,665
196,岳阳,8001
62,锦州,670
196,岳阳,525
142,宜春,804
177,黄石,600
3,杭州,542
292,咸阳,915
137,九江,657
242,绵阳,927
8,成都,605
147,东营,902
92,徐州,493
8,成都,585
92,徐州,875
142,宜春,771
8,成都,647
306,平凉,856
95,连云港,754
120,阜阳,759
22,济南,465
38,长治,776
179,宜昌,656
