dpcity_id,deliverycity_name
255,阿坝
255,阿坝藏族羌族自治州
332,阿克苏地区
57,阿拉善
57,阿拉善盟
338,阿勒泰地区
288,阿里
297,安康
297,安康市
117,安庆
117,安庆市
261,安顺
261,安顺市
164,安阳
164,安阳市
58,鞍山
58,鞍山市
342,澳门
56,巴彦淖尔
56,巴彦淖尔市
331,巴音郭楞
331,巴音郭楞蒙古自治州
253,巴中
253,巴中市
77,白城
77,白城市
390,白沙
75,白山
75,白山市
302,白银
302,白银市
233,百色
233,百色市
112,蚌埠
112,蚌埠市
47,包头
47,包头市
291,宝鸡
291,宝鸡市
29,保定
29,保定市
270,保山
270,保山市
391,保亭
228,北海
228,北海市
2,北京
2,北京市
60,本溪
703,本溪市
1941,毕节地区
264,毕节市
158,滨州
158,滨州市
124,亳州
124,亳州市
330,博尔塔拉
330,博尔塔拉蒙古自治州
32,沧州
32,沧州市
1965,昌都地区
284,昌吉回族自治州
329,昌吉州
392,昌江
197,常德
197,常德市
93,常州
93,常州市
122,巢湖市
68,朝阳
68,朝阳市
221,潮州
221,潮州市
200,郴州
200,郴州市
8,成都
8,成都市
31,承德
31,承德市
393,澄迈县
125,池州
125,池州市
49,赤峰
49,赤峰市
394,崇左
394,崇左市
119,滁州
119,滁州市
1898,楚雄彝族自治州
272,楚雄州
251,达州
251,达州市
1593,大理白族自治州
277,大理州
19,大连
19,大连市
84,大庆
84,大庆市
36,大同
36,大同市
91,大兴安岭
91,大兴安岭地区
61,丹东
61,丹东市
358,儋州
278,德宏
278,德宏傣族景颇族自治州
241,德阳
241,德阳市
156,德州
156,德州市
281,迪庆
395,定安县
309,定西
309,定西市
396,东方
219,东莞
219,东莞市
147,东营
147,东营市
51,鄂尔多斯
51,鄂尔多斯市
181,鄂州
181,鄂州市
188,恩施
1368,恩施土家族苗族自治州
229,防城港
229,防城港市
208,佛山
208,佛山市
14,福州
14,福州市
59,抚顺
59,抚顺市
143,抚州
143,抚州市
64,阜新
694,阜新市
120,阜阳
120,阜阳市
312,甘南
2014,甘孜藏族自治州
256,甘孜州
140,赣州
140,赣州市
324,固原
324,固原市
250,广安
250,广安市
243,广元
243,广元市
4,广州
4,广州市
231,贵港
231,贵港市
258,贵阳
258,贵阳市
226,桂林
226,桂林市
318,果洛
318,果洛藏族自治州
79,哈尔滨
79,哈尔滨市
328,哈密地区
314,海东
23,海口
23,海口市
857,海南藏族自治州
320,海西
320,海西蒙古族藏族自治州
27,邯郸
27,邯郸市
295,汉中
295,汉中市
3,杭州
3,杭州市
110,合肥
110,合肥市
235,河池
235,河池市
216,河源
216,河源市
159,菏泽
159,菏泽市
234,贺州
234,贺州市
165,鹤壁
165,鹤壁市
82,鹤岗
82,鹤岗市
89,黑河
89,黑河市
34,衡水
34,衡水市
194,衡阳
194,衡阳市
273,红河
273,红河哈尼族彝族自治州
46,呼和浩特
46,呼和浩特市
52,呼伦贝尔
52,呼伦贝尔市
69,葫芦岛
69,葫芦岛市
103,湖州
103,湖州市
202,怀化
202,怀化市
96,淮安
96,淮安市
115,淮北
115,淮北市
113,淮南
113,淮南市
185,黄冈
185,黄冈市
316,黄南
118,黄山
118,黄山市
177,黄石
177,黄石市
213,惠州
213,惠州市
81,鸡西
81,鸡西市
141,吉安
141,吉安市
71,吉林
71,吉林市
22,济南
22,济南市
150,济宁
150,济宁市
397,济源
86,佳木斯
86,佳木斯市
102,嘉兴
102,嘉兴市
300,嘉峪关市
209,江门
209,江门市
167,焦作
167,焦作市
222,揭阳
222,揭阳市
301,金昌
301,金昌市
105,金华
105,金华市
62,锦州
62,锦州市
39,晋城
39,晋城市
41,晋中
41,晋中市
182,荆门
182,荆门市
184,荆州
184,荆州市
135,景德镇
135,景德镇市
137,九江
137,九江市
307,酒泉
307,酒泉市
334,喀什地区
161,开封
161,开封市
326,克拉玛依
326,克拉玛依市
267,昆明
267,昆明市
283,拉萨
283,拉萨市
398,来宾
398,来宾市
154,莱芜
154,莱芜市
299,兰州
299,兰州市
33,廊坊
33,廊坊市
399,乐东
246,乐山
246,乐山市
279,丽江
279,丽江市
109,丽水
109,丽水市
95,连云港
95,连云港市
257,凉山
257,凉山彝族自治州
65,辽阳
65,辽阳市
73,辽源
73,辽源市
157,聊城
157,聊城市
664,林芝地区
289,林芝县
282,临沧
282,临沧市
44,临汾
44,临汾市
400,临高县
558,临夏回族自治州
311,临夏州
155,临沂
155,临沂市
401,陵水
225,柳州
225,柳州市
123,六安
123,六安市
259,六盘水
259,六盘水市
132,龙岩
132,龙岩市
310,陇南
310,陇南市
203,娄底
203,娄底市
240,泸州
240,泸州市
162,洛阳
162,洛阳市
170,漯河
170,漯河市
45,吕梁
45,吕梁市
114,马鞍山
114,马鞍山市
211,茂名
211,茂名市
248,眉山
248,眉山市
214,梅州
214,梅州市
242,绵阳
242,绵阳市
88,牡丹江
88,牡丹江市
287,那曲
287,那曲地区
134,南昌
134,南昌市
247,南充
247,南充市
5,南京
5,南京市
224,南宁
224,南宁市
131,南平
131,南平市
94,南通
94,南通市
172,南阳
172,南阳市
245,内江
245,内江市
11,宁波
11,宁波市
133,宁德
133,宁德市
280,怒江
280,怒江傈僳族自治州
239,攀枝花
239,攀枝花市
66,盘锦
66,盘锦市
163,平顶山
163,平顶山市
306,平凉
306,平凉市
136,萍乡
136,萍乡市
127,莆田
127,莆田市
168,濮阳
168,濮阳市
275,普洱
275,普洱市
87,七台河
87,七台河市
80,齐齐哈尔
80,齐齐哈尔市
190,潜江
265,黔东南
265,黔东南苗族侗族自治州
266,黔南
266,黔南布依族苗族自治州
263,黔西南
263,黔西南布依族苗族自治州
230,钦州
230,钦州市
26,秦皇岛
26,秦皇岛市
21,青岛
21,青岛市
218,清远
