app_name,group,group_app,,美团,美团,mt,美团APP
app_name,dianping_nova,dianping_app,,点评,点评,dp,点评APP
app_name,movie,movie_app,,猫眼,猫眼,mt,猫眼APP
app_name,dianping_movie_wx,wx_wallet_chwl,,微信点评_h5,微信吃喝玩乐,dp,微信钱包入口吃喝玩乐
app_name,dianping_movie_m,dianping_i,,微信点评_h5,点评,dp,点评i版
app_name,dianping_wxapp,wx_wallet_chwl,,微信点评_小程序,微信吃喝玩乐,dp,微信钱包入口吃喝玩乐
app_name,maoyan_wxwallet_i,wx_wallet_movie,,微信钱包,微信演出赛事,wx,微信钱包入口猫眼
app_name,dp_m,dianping_i,,其他,点评,dp,点评i版
app_name,dp_m_qqcard,dianping_i,,其他,点评,dp,点评i版
app_name,dp_m_wxcard,wx_wallet_chwl,,其他,微信吃喝玩乐,dp,微信钱包入口吃喝玩乐
app_name,maoyan_i,movie_i,,其他,猫眼,mt,猫眼i版
app_name,gewara,gewara_app,,格瓦拉APP,格瓦拉,gwl,格瓦拉APP
app_name,gewara_pc,wx_wallet_movie,,格瓦拉PC,微信演出赛事,wx,微信钱包入口猫眼
app_name,yanchu_qqwallet_i,movie_i,,手机QQ钱包,演出M站,mt,猫眼i版
app_name,show.maoyan.com,movie_i,,其他,演出M站,mt,猫眼i版
app_name,all,,,全部,全部,all,
partition_app,movie,,,猫眼,猫眼,猫眼,
partition_app,dianping_nova,,,点评,点评,点评,
partition_app,other_app,,,其他,其他,其他,
partition_app,dp_m,,,点评,点评,点评,
partition_app,group,,,美团,美团,美团,
nav_flag,0,,,平台,平台,平台,
nav_flag,1,,,导航,导航,导航,
nav_flag,2,,,详情,详情,详情,
nav_flag,3,,,购票,购票,购票,
nav_flag,4,,,下单,下单,下单,
nav_flag,5,,,其他,其他,其他,
page_tag1,-2,,,电影,电影,电影,
page_tag1,-1,,,平台,平台,平台,
page_tag1,0,,,演出,演出,演出,
page_tag1,1,,,搜索,演出,演出,
page_tag1,2,,,分类,演出,演出,
page_tag1,3,,,图文,演出,演出,
page_tag1,4,,,排序,演出,演出,
page_tag1,5,,,其他,演出,演出,
page_tag1,6,,,自主,平台,平台,
fromTag,home,,,app首页运营位,平台运营位,首页运营位,
fromTag,moviehome,,,电影首页,电影演出tab,电影首页,
fromTag,out_underline,,,微信演出赛事首页,微信演出赛事底部tab,电影首页,
fromTag,allcate,,,全部分类,平台全部分类,全部分类,
fromTag,search,,,搜索,平台大搜,搜索,
fromTag,homenavi,,,首页导航区,平台首页icon,首页导航区,
fromTag,share,,,老版分享,分享,分享,
fromTag,mtshare,,,美团分享,分享,分享,
fromTag,dpshare,,,点评分享,分享,分享,
fromTag,myshare,,,猫眼分享,分享,分享,
fromTag,gwlshare,,,格瓦拉分享,分享,分享,
fromTag,ordercenter,,,订单中心,订单中心,平台订单中心,
fromTag,activity,,,活动页面,活动页面,各活动,
fromTag,shop,,,Poi商户页,Poi商户详情页,Poi商户页,
fromTag,mtGuess,,,美团猜你喜欢,猜你喜欢,美团猜你喜欢,
fromTag,dpGuess,,,点评猜你喜欢,猜你喜欢,点评猜你喜欢,
fromTag,Card,,,搜索直达区,搜索直达演出详情,搜索直达区,
fromTag,wxmovie,,,微信电影首页,电影演出tab,微信电影首页,
fromTag,maoyantab,,,猫眼APP,电影演出tab,猫眼APP演出tab,
fromTag,couponlist,,,抵用券详情页,抵用券详情页,抵用券详情页,
fromTag,wxmyshow,,,猫眼微信一级,微信电影演出赛事,猫眼微信一级,
